3.189379642874477505e-01 -1.227099676245730214e-01 2.908293944721710433e-01 3.507273241000189445e-01 4.752866344246265973e-01 2.200287855925964764e-01 3.471189798824365624e-01 1.866451901903919408e-01 2.486220658241738435e-01 3.494094289811378595e-01 3.508938581112736599e-01 9.624634374044406526e-02
3.671974243829005391e-01 -1.853193692800460202e+00 -6.308760639805263137e-01 4.864767433649334061e-01 6.550582621895728597e-01 3.119977520607367105e-01 5.098302190557333358e-01 2.881684564168139895e-01 3.758385252867743054e-01 3.416535208973061066e-01 3.387082668197787805e-01 1.557373540631750430e-01
3.132909745189337292e-01 -4.190521575917289354e+00 -2.010245225638525923e+00 5.410840958291940339e-01 7.232895973399458001e-01 3.556313400356938548e-01 6.029379088472647252e-01 3.575629843629810067e-01 4.572311972819099180e-01 1.990877882353003780e-01 1.894806062050121698e-01 2.013552934684645357e-01
1.930378403818109323e-01 -6.921934900703549332e+00 -3.686821833810790761e+00 5.429976770596579572e-01 7.190865110597852716e-01 3.678758658725611030e-01 6.508449566931873154e-01 4.060930649056880282e-01 5.088658378504016255e-01 -3.102363233532669934e-02 -4.874236516597952457e-02 2.379640412909238556e-01
2.344976252353894730e-02 -9.946387482825413073e+00 -5.584399880230066060e+00 5.057285279584677884e-01 6.610216810632889572e-01 3.567796983348103801e-01 6.651411142440442070e-01 4.391084840949406876e-01 5.383726084014360813e-01 -3.262334317219789392e-01 -3.531416450549388908e-01 2.678736154533694069e-01
-1.854535635381175940e-01 -1.320436442448852254e+01 -7.658095010051657603e+00 4.372344771530746188e-01 5.600341747008509286e-01 3.270832226980190938e-01 6.526525955671103052e-01 4.597601968340521150e-01 5.502455754790995801e-01 -6.733204347243075816e-01 -7.102771357982815559e-01 2.924445866837898089e-01
-4.270514586229200438e-01 -1.665654027473057042e+01 -9.878249145032381051e+00 3.427737912465167458e-01 4.233521612645995136e-01 2.819187267692051524e-01 6.178899342684156526e-01 4.701302485793192321e-01 5.474542677232878685e-01 -1.063548531624003868e+00 -1.111268071046979555e+00 3.125759745458101535e-01
-6.966383360043574280e-01 -2.027496483161235474e+01 -1.222378307932105201e+01 2.260837347788981488e-01 2.561129954808496478e-01 2.235124552472973758e-01 5.640589505498160294e-01 4.716984339554963768e-01 5.321092502545095027e-01 -1.490708612930531363e+00 -1.549802527943033859e+00 3.289067489109953057e-01
-9.906958314734265469e-01 -2.403873974688258386e+01 -1.467893590408068860e+01 8.995865807499370259e-02 6.215787421803592450e-02 1.535289698807948411e-01 4.935566341416594005e-01 4.655711944643584621e-01 5.057885912738949719e-01 -1.950158131418438412e+00 -2.021161085771390642e+00 3.419146671467906407e-01
-1.306492995912895472e+00 -2.793164375340739625e+01 -1.723147402508447357e+01 -6.343246825858639415e-02 -1.555316711718230660e-01 7.326030104733967374e-02 4.082435249423898016e-01 4.526073483700317479e-01 4.697171849950050881e-01 -2.438293548768806218e+00 -2.521680537123721422e+00 3.519705638181732099e-01
-1.641848160217869390e+00 -3.194071819255602307e+01 -1.987162440980019795e+01 -2.323569220220725318e-01 -3.945737893408086117e-01 -1.626138894008243713e-02 3.096059495881380852e-01 4.334929784932255448e-01 4.248735607670793279e-01 -2.952236111888403070e+00 -3.048434461153461950e+00 3.593706869615244104e-01
-1.994978152228203738e+00 -3.605537139428493276e+01 -2.259139913765251961e+01 -4.153984747044767722e-01 -6.530216905563793750e-01 -1.141924693506989885e-01 1.988587468793824864e-01 4.087888498842849327e-01 3.720575127887585376e-01 -3.489632891838434059e+00 -3.599030968013175347e+00 3.643571728613009264e-01
